X;Y;Z;ABL
432718;9460047;552.81;47.013
431356;9460474;826.57;46.448
439034;9460662;631.85;45.285
438879;9460129;741.83;45.019
442283;9460449;561.46;44.576
442349;9460990;505.10;45.578
442595;9461376;516.34;47.066
442997;9461819;405.56;49.190
443464;9462057;403.39;51.349
443711;9462442;362.99;53.608
443448;9462894;334.38;54.731
443268;9463369;310.86;56.499
442701;9463345;366.98;55.775
442201;9463369;385.96;55.635
445376;9461835;281.48;56.972
444785;9460441;303.29;48.798
445318;9460490;256.92;49.411
445573;9460876;321.02;51.974
446426;9460277;368.42;50.956
446213;9460113;351.19;49.595
447911;9460318;328.78;58.220
448280;9461253;290.18;60.368
448575;9462221;280.22;58.218
447935;9462902;250.46;57.812
448854;9463222;264.41;54.602
448329;9463919;234.95;56.380
446967;9462869;252.00;63.053
445565;9462771;238.08;61.211
449831;9463312;237.32;52.959
450799;9463632;226.94;51.296
450872;9460744;324.34;60.835
451258;9461778;280.00;56.819
451923;9462582;288.00;53.010
451652;9463058;286.82;50.822
446984;9462861;251.76;62.991
